"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,147,"MDA","Moldova",1,"Anenii Noi","MD.AN",NA,"","Raion","District","",""
2,147,"MDA","Moldova",2,"Soldanesti","MD.SD",NA,"","Raion","District","",""
3,147,"MDA","Moldova",3,"Stefan Voda","MD.SV",NA,"","Raion","District","",""
4,147,"MDA","Moldova",4,"Balti","MD.BT",NA,"","Municipiu","City","",""
5,147,"MDA","Moldova",5,"Basarabeasca","MD.BA",NA,"","Raion","District","",""
6,147,"MDA","Moldova",6,"Bender","MD.BD",NA,"","Municipiu","City","",""
7,147,"MDA","Moldova",7,"Briceni","MD.BR",NA,"","Raion","District","",""
8,147,"MDA","Moldova",8,"Cahul","MD.CH",NA,"","Raion","District","",""
9,147,"MDA","Moldova",9,"Calarasi","MD.CA",NA,"","Raion","District","",""
10,147,"MDA","Moldova",10,"Cantemir","MD.CN",NA,"","Raion","District","",""
11,147,"MDA","Moldova",11,"Causeni","MD.CU",NA,"","Raion","District","",""
12,147,"MDA","Moldova",12,"Chisinau","MD.CV",NA,"","Municipiu","City","",""
13,147,"MDA","Moldova",13,"Cimislia","MD.CS",NA,"","Raion","District","",""
14,147,"MDA","Moldova",14,"Criuleni","MD.CR",NA,"","Raion","District","",""
15,147,"MDA","Moldova",15,"Donduseni","MD.DO",NA,"","Raion","District","",""
16,147,"MDA","Moldova",16,"Drochia","MD.DR",NA,"","Raion","District","",""
17,147,"MDA","Moldova",17,"Dubasari","MD.DB",NA,"","Raion","District","",""
18,147,"MDA","Moldova",18,"Edinet","MD.ED",NA,"","Raion","District","",""
19,147,"MDA","Moldova",19,"Falesti","MD.FA",NA,"","Raion","District","",""
20,147,"MDA","Moldova",20,"Floresti","MD.FL",NA,"","Raion","District","",""
21,147,"MDA","Moldova",21,"Gagauzia","MD.GA",NA,"","Unitate Teritoriala Autonoma","Autonomous Territory","","Unitate Teritoriala Autonoma Gagauzia|UTAG"
22,147,"MDA","Moldova",22,"Glodeni","MD.GL",NA,"","Raion","District","",""
23,147,"MDA","Moldova",23,"Hîncesti","MD.HI",NA,"","Raion","District","",""
24,147,"MDA","Moldova",24,"Ialoveni","MD.IA",NA,"","Raion","District","",""
25,147,"MDA","Moldova",25,"Leova","MD.LE",NA,"","Raion","District","",""
26,147,"MDA","Moldova",26,"Nisporeni","MD.NI",NA,"","Raion","District","",""
27,147,"MDA","Moldova",27,"Ocnita","MD.OC",NA,"","Raion","District","",""
28,147,"MDA","Moldova",28,"Orhei","MD.OH",NA,"","Raion","District","",""
29,147,"MDA","Moldova",29,"Rîscani","MD.RS",NA,"","Raion","District","",""
30,147,"MDA","Moldova",30,"Rezina","MD.RZ",NA,"","Raion","District","",""
31,147,"MDA","Moldova",31,"Sîngerei","MD.SI",NA,"","Raion","District","",""
32,147,"MDA","Moldova",32,"Soroca","MD.SO",NA,"","Raion","District","",""
33,147,"MDA","Moldova",33,"Straseni","MD.ST",NA,"","Raion","District","",""
34,147,"MDA","Moldova",34,"Taraclia","MD.TA",NA,"","Raion","District","",""
35,147,"MDA","Moldova",35,"Telenesti","MD.TE",NA,"","Raion","District","",""
36,147,"MDA","Moldova",36,"Transnistria","MD.DU",NA,"","Unitatea Teritoriala","Territorial Unit","",""
37,147,"MDA","Moldova",37,"Ungheni","MD.UG",NA,"","Raion","District","",""
